unique_id,pfr_id
ceedeelamb-wr-dal,LambCe00
antoniogibson-rb-was,GibsAn00
justinjefferson-wr-min,JeffJu00
terrymclaurin-wr-was,McLaTe00
jkdobbins-rb-bal,DobbJK00
davidmontgomery-rb-chi,MontDa01
jonathantaylor-rb-ind,TaylJo02
zackmoss-rb-buf,MossZa00
teehiggins-wr-cin,HiggTe00
tjhockenson-te-det,HockTJ00
justinherbert-qb-lac,HerbJu00
joshjacobs-rb-oak,JacoJo01
ajdillon-rb-gb,DillAJ00
ajbrown-wr-ten,BrowAJ00
chaseclaypool-wr-pit,ClayCh01
kylermurray-qb-ari,MurrKy00
milessanders-rb-phi,SandMi01
clydeedwardshelaire-rb-kc,EdwaCl00
dandreswift-rb-det,SwifDA00
jamesrobinson-rb-jax,RobiJa00
dkmetcalf-wr-sea,MetcDK00
tonypollard-rb-dal,PollTo00
gabrieldavis-wr-buf,DaviGa01
camakers-rb-lar,AkerCa00
joeburrow-qb-cin,BurrJo01
mylesgaskin-rb-mia,GaskMy00
henryruggsiii-wr-oak,RuggHe00
mikewilliams-wr-lac,WillMi07
bennysnelljr-rb-pit,SnelBe00
anthonymiller-wr-chi,MillAn02
jakobimeyers-wr-ne,MeyeJa01
bryanedwards-wr-lv,EdwaBr01
anthonymcfarlandjr-rb-pit,McFaAn00
brycelove-rb-was,NoId
adrianpeterson-rb-det,PeteAd01
scottymiller-wr-tb,MillSc01
ryquellarmstead-rb-jac,NoId
enobenjamin-rb-ari,NoId
tyrellwilliams-wr-fa,NoId
collinjohnson-wr-jac,JohnCo01
jamycalhasty-rb-sf,HastJa02
